estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
rf,right_lateral__B,right_lateral,B,9,25,1,0.44,0.4318181818181818,0.3571428571428571,0.4366947573130216,7.0,7.0,7.0,4.0
rf,right_lateral__B,right_lateral,B,10,24,1,0.20833333333333334,0.2062937062937063,0.22377622377622378,0.4329853514481989,3.0,10.0,9.0,2.0
rf,right_lateral__C,right_lateral,C,1,32,1,0.96875,0.9666666666666667,1.0,0.6506562881562882,14.0,1.0,0.0,17.0
rf,right_lateral__C,right_lateral,C,2,30,1,0.7333333333333333,0.7142857142857143,0.6294642857142857,0.7372617298879351,6.0,8.0,0.0,16.0
rf,right_lateral__C,right_lateral,C,3,29,1,0.5172413793103449,0.5333333333333333,0.6047619047619047,0.697549063402722,1.0,14.0,0.0,14.0
rf,right_lateral__C,right_lateral,C,4,28,1,0.6785714285714286,0.6785714285714286,0.7448979591836733,0.6898468173283828,10.0,4.0,5.0,9.0
rf,right_lateral__C,right_lateral,C,5,28,1,0.5,0.5,0.3469387755102041,0.719337321152409,0.0,14.0,0.0,14.0
rf,right_lateral__C,right_lateral,C,6,28,1,0.6071428571428571,0.6071428571428572,0.8418367346938775,0.6727727116269374,13.0,1.0,10.0,4.0
rf,right_lateral__C,right_lateral,C,7,27,1,0.5185185185185185,0.5,0.7582417582417583,0.7056819149842406,14.0,0.0,13.0,0.0
rf,right_lateral__C,right_lateral,C,8,25,1,0.84,0.8181818181818181,0.9935064935064936,0.6329578910407044,14.0,0.0,4.0,7.0
rf,right_lateral__C,right_lateral,C,9,25,1,0.76,0.7857142857142857,0.9935064935064936,0.6773649713241318,8.0,6.0,0.0,11.0
rf,right_lateral__C,right_lateral,C,10,24,1,0.5416666666666666,0.520979020979021,0.4615384615384615,0.7009764200632039,10.0,3.0,8.0,3.0
svm,bis_quatro__A,bis_quatro,A,1,32,1,0.5625,0.5725490196078431,0.7294117647058824,0.6222985347985348,11.0,4.0,10.0,7.0
svm,bis_quatro__A,bis_quatro,A,2,30,1,0.5,0.5,0.5044642857142857,0.647640725065569,7.0,7.0,8.0,8.0
svm,bis_quatro__A,bis_quatro,A,3,29,1,0.27586206896551724,0.2833333333333333,0.2714285714285714,0.5954986747669674,1.0,14.0,7.0,7.0
svm,bis_quatro__A,bis_quatro,A,4,28,1,0.39285714285714285,0.39285714285714285,0.41836734693877553,0.6454473553168959,11.0,3.0,14.0,0.0
svm,bis_quatro__A,bis_quatro,A,5,28,1,0.35714285714285715,0.35714285714285715,0.11224489795918366,0.6264309365557239,10.0,4.0,14.0,0.0
svm,bis_quatro__A,bis_quatro,A,6,28,1,0.75,0.75,0.8418367346938775,0.533591904408694,7.0,7.0,0.0,14.0
