estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,svc__C,svc__gamma,xgb__colsample_bytree,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample
svm,left_lateral__C,left_lateral,C,2,0.7219314449917899,,,,,,1.0,0.01,,,,,
svm,left_lateral__C,left_lateral,C,3,0.7214981225842851,,,,,,1.0,0.01,,,,,
svm,left_lateral__C,left_lateral,C,4,0.720427467486584,,,,,,10.0,0.001,,,,,
svm,left_lateral__C,left_lateral,C,5,0.7905713391623157,,,,,,10.0,0.001,,,,,
svm,left_lateral__C,left_lateral,C,6,0.7038147551501874,,,,,,10.0,0.001,,,,,
svm,left_lateral__C,left_lateral,C,7,0.7153372155156605,,,,,,1.0,0.01,,,,,
svm,left_lateral__C,left_lateral,C,8,0.6671117377856234,,,,,,1.0,0.01,,,,,
svm,left_lateral__C,left_lateral,C,9,0.6715170080130131,,,,,,1.0,0.01,,,,,
svm,left_lateral__C,left_lateral,C,10,0.6911985284830112,,,,,,0.1,scale,,,,,
svm,right_lateral__A,right_lateral,A,1,0.6357473544973544,,,,,,1.0,0.001,,,,,
svm,right_lateral__A,right_lateral,A,2,0.6683486133917169,,,,,,1.0,0.001,,,,,
svm,right_lateral__A,right_lateral,A,3,0.7367035489504061,,,,,,1.0,0.01,,,,,
svm,right_lateral__A,right_lateral,A,4,0.7219086023394156,,,,,,1.0,0.01,,,,,
svm,right_lateral__A,right_lateral,A,5,0.7580289251654508,,,,,,1.0,0.01,,,,,
svm,right_lateral__A,right_lateral,A,6,0.7141301412582011,,,,,,0.1,scale,,,,,
svm,right_lateral__A,right_lateral,A,7,0.7439968982591045,,,,,,1.0,0.01,,,,,
svm,right_lateral__A,right_lateral,A,8,0.668686864019076,,,,,,1.0,0.01,,,,,
svm,right_lateral__A,right_lateral,A,9,0.7160730267069628,,,,,,1.0,0.01,,,,,
svm,right_lateral__A,right_lateral,A,10,0.7070347038019452,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,1,0.5,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,2,0.45634920634920634,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,3,0.5,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,4,0.5,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,5,0.5,,,,,,0.1,0.01,,,,,
svm,right_lateral__B,right_lateral,B,6,0.5,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,7,0.5,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,8,0.5,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,9,0.5,,,,,,0.1,scale,,,,,
svm,right_lateral__B,right_lateral,B,10,0.5151256789187824,,,,,,1.0,0.001,,,,,
svm,right_lateral__C,right_lateral,C,1,0.6096230158730159,,,,,,1.0,0.001,,,,,
svm,right_lateral__C,right_lateral,C,2,0.6212027914614121,,,,,,1.0,0.001,,,,,
svm,right_lateral__C,right_lateral,C,3,0.6933451793088927,,,,,,1.0,0.001,,,,,
svm,right_lateral__C,right_lateral,C,4,0.6657355705870601,,,,,,10.0,0.001,,,,,
svm,right_lateral__C,right_lateral,C,5,0.65161486646951,,,,,,1.0,0.01,,,,,
svm,right_lateral__C,right_lateral,C,6,0.6745754940804961,,,,,,0.1,0.01,,,,,
svm,right_lateral__C,right_lateral,C,7,0.676292550130583,,,,,,0.1,0.01,,,,,
svm,right_lateral__C,right_lateral,C,8,0.6156493667532356,,,,,,1.0,0.001,,,,,
svm,right_lateral__C,right_lateral,C,9,0.6322892309540753,,,,,,100.0,0.001,,,,,
svm,right_lateral__C,right_lateral,C,10,0.6841448781103954,,,,,,1.0,0.001,,,,,
xgb,bis_quatro__A,bis_quatro,A,1,0.5616732804232805,,,,,,,,1.0,0.1,6.0,400.0,1.0
xgb,bis_quatro__A,bis_quatro,A,2,0.6171490147783252,,,,,,,,1.0,0.05,3.0,200.0,1.0
xgb,bis_quatro__A,bis_quatro,A,3,0.5999840826016072,,,,,,,,1.0,0.1,3.0,400.0,1.0
xgb,bis_quatro__A,bis_quatro,A,4,0.6597776637767674,,,,,,,,1.0,0.1,3.0,400.0,1.0
xgb,bis_quatro__A,bis_quatro,A,5,0.6648724169432084,,,,,,,,1.0,0.05,6.0,200.0,1.0
xgb,bis_quatro__A,bis_quatro,A,6,0.6120371131548149,,,,,,,,1.0,0.05,6.0,200.0,1.0
xgb,bis_quatro__A,bis_quatro,A,7,0.6145669972871624,,,,,,,,1.0,0.1,3.0,200.0,1.0
xgb,bis_quatro__A,bis_quatro,A,8,0.6304505086307021,,,,,,,,1.0,0.05,6.0,400.0,1.0
xgb,bis_quatro__A,bis_quatro,A,9,0.6328196964235652,,,,,,,,1.0,0.1,3.0,400.0,1.0
xgb,bis_quatro__A,bis_quatro,A,10,0.6751097322218012,,,,,,,,1.0,0.05,3.0,400.0,1.0
xgb,bis_quatro__B,bis_quatro,B,1,0.5522486772486772,,,,,,,,1.0,0.1,6.0,200.0,1.0
