estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
svm,bis_quatro__A,bis_quatro,A,6,28,1,0.4642857142857143,0.4642857142857143,0.4387755102040817,0.676205527017244,6.0,8.0,7.0,7.0
svm,bis_quatro__A,bis_quatro,A,7,27,1,0.5185185185185185,0.5,0.8956043956043955,0.6868567681820194,14.0,0.0,13.0,0.0
svm,bis_quatro__A,bis_quatro,A,8,25,1,0.96,0.9545454545454546,1.0,0.6602200189773781,14.0,0.0,1.0,10.0
svm,bis_quatro__A,bis_quatro,A,9,25,1,0.96,0.9545454545454546,1.0,0.6479962076051227,14.0,0.0,1.0,10.0
svm,bis_quatro__A,bis_quatro,A,10,24,1,0.5416666666666666,0.5559440559440559,0.6433566433566433,0.7012796829607175,5.0,8.0,3.0,8.0
svm,bis_quatro__B,bis_quatro,B,1,32,1,0.5,0.49411764705882355,0.46274509803921565,0.5767195767195767,6.0,9.0,7.0,10.0
svm,bis_quatro__B,bis_quatro,B,2,30,1,0.6333333333333333,0.6205357142857143,0.6517857142857143,0.5274413884327678,6.0,8.0,3.0,13.0
svm,bis_quatro__B,bis_quatro,B,3,29,1,0.3448275862068966,0.35,0.4,0.536311283301235,3.0,12.0,7.0,7.0
svm,bis_quatro__B,bis_quatro,B,4,28,1,0.4642857142857143,0.4642857142857143,0.40306122448979587,0.5130576534786176,7.0,7.0,8.0,6.0
svm,bis_quatro__B,bis_quatro,B,5,28,1,0.5357142857142857,0.5357142857142857,0.5255102040816326,0.528330209869595,8.0,6.0,7.0,7.0
svm,bis_quatro__B,bis_quatro,B,6,28,1,0.35714285714285715,0.35714285714285715,0.36734693877551017,0.5290431040923493,5.0,9.0,9.0,5.0
svm,bis_quatro__B,bis_quatro,B,7,27,1,0.5555555555555556,0.5494505494505495,0.45604395604395603,0.5310124686189823,10.0,4.0,8.0,5.0
svm,bis_quatro__B,bis_quatro,B,8,25,1,0.48,0.4967532467532467,0.49350649350649345,0.5495980400311772,5.0,9.0,4.0,7.0
svm,bis_quatro__B,bis_quatro,B,9,25,1,0.56,0.5487012987012987,0.5909090909090908,0.5329676106063828,9.0,5.0,6.0,5.0
svm,bis_quatro__B,bis_quatro,B,10,24,1,0.7083333333333334,0.7097902097902098,0.8041958041958043,0.5140994063407857,9.0,4.0,3.0,8.0
